Id	Name	Country	Position	PI names	Site type	Elevation above sea	Station class	Labeling date	Climate zone
http://meta.icos-cp.eu/resources/stations/ES_SE-Sto	Abisko-Stordalen Palsa Bog	Sweden (SE)	19.045208 68.35594	Lundin	permanent wetlands	351.893	2	2022-05-18	
http://meta.icos-cp.eu/resources/stations/ES_IT-Noe	Arca di Noe - Le Prigionette	Italy (IT)	8.151694 40.606174	Spano	closed shrublands	25	Associated	2023-05-23	
http://meta.icos-cp.eu/resources/stations/ES_UK-AMo	Auchencorth Moss	United Kingdom of Great Britain and Northern Ireland (GB)	-3.2436917 55.792545	Nemitz	permanent wetlands	270	1	2021-11-17	
http://meta.icos-cp.eu/resources/stations/ES_FR-Aur	Aurade	France (FR)	1.106103 43.54965	Tallec	croplands	250	Associated	2020-05-27	
http://meta.icos-cp.eu/resources/stations/OS_1199	BE-FOS-Thornton Buoy	Belgium (BE)	2.993217 51.57989	Cattrijsse Gkritzalis Theetaert	fos buoy	0	1	2018-11-30	
http://meta.icos-cp.eu/resources/stations/ES_DE-BeR	Berlin-Rothenburgstrasse	Germany (DE)	13.315827 52.457233	Meier	urban and built-up lands		Associated	2022-11-23	
http://meta.icos-cp.eu/resources/stations/OS_11BE	BE-SOOP-Belgica	Belgium (BE)		Naudts	rv	0	1		
http://meta.icos-cp.eu/resources/stations/OS_11SS	BE-SOOP-Simon-Stevin	Belgium (BE)		Gkritzalis	rv	0	1	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_FR-Bil	Bilos	France (FR)	-0.956092 44.493652	Domec	evergreen needleleaf forests	39.18	2	2019-11-21	
http://meta.icos-cp.eu/resources/stations/ES_CZ-BK1	Bily Kriz forest	Czech Republic (CZ)	18.536882 49.502075	Šigut	evergreen needleleaf forests	875	2	2022-05-18	
http://meta.icos-cp.eu/resources/stations/AS_BIR	Birkenes	Norway (NO)	8.2519 58.3886	Hermansen Lunder	ground	219	2	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_IT-BCi	Borgo Cioffi	Italy (IT)	14.957444 40.52375	Magliulo	croplands	10	1	2023-05-23	
http://meta.icos-cp.eu/resources/stations/ES_IT-BFt	Bosco Fontana	Italy (IT)	10.741966 45.197754	Gerosa	deciduous broadleaf forests	23	Associated	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_BE-Bra	Brasschaat	Belgium (BE)	4.51984 51.30761	Janssens	evergreen needleleaf forests	16	1	2020-11-17	
DE-Brs	Braunschweig	Germany (DE)	10.44871 52.29663	Böske Herbst	cropland	79	Associated		
http://meta.icos-cp.eu/resources/stations/AS_CBW	Cabauw	Netherlands (NL)	4.9264 51.9703	Frumau Hensen	tall tower	0	1	2023-05-23	
DE-FOS-CVOO	Cape Verde Ocean Observatory	Germany (DE)	-24.5 17.6	Fiedler Karstensen Körtzinger Steinhoff	profiling station	0	1		
CRP	Carnsore Point	Ireland (IE)	-6.33686 52.1856	Martin	coastal		2		
http://meta.icos-cp.eu/resources/stations/ES_IT-Cp2	Castelporziano2	Italy (IT)	12.357293 41.704266	Fares	mixed forests	19	1	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_IE-Cra	Clara Raised Bog	Ireland (IE)	-7.641774 53.32309	Saunders	permanent wetlands		2		
http://meta.icos-cp.eu/resources/stations/ES_FR-CLt	Col du Lautaret	France (FR)	6.41053 45.0414	Voisin	grasslands	2050.6	Associated	2023-05-23	
CUXHAVEN	Cuxhaven Stationary FerryBox Platform	Germany (DE)	8.704878 53.87706	Voynova	mft		2		
http://meta.icos-cp.eu/resources/stations/ES_CH-Dav	Davos	Switzerland (CH)	9.85591 46.81533	Feigenwinter	evergreen needleleaf forests	1689	1	2019-11-21	
DE-HGT	DE-FOS-Hausgarten	Germany (DE)	4.334167 79.006833	Soltwedel	profiling station	0	1		
http://meta.icos-cp.eu/resources/stations/ES_SE-Deg	Degero	Sweden (SE)	19.55654 64.18203	Peichl	permanent wetlands	270	2	2019-11-21	Sub-arctic (Dfc)
http://meta.icos-cp.eu/resources/stations/OS_NA-VOS	DE-SOOP-Atlantic Sail	Germany (DE)		Steinhoff	soop	0	1	2022-05-18	
http://meta.icos-cp.eu/resources/stations/OS_BALTIC-VOS	DE-SOOP-Finnmaid	Germany (DE)		Glockzin Rehder	soop	0	1	2023-05-23	
http://meta.icos-cp.eu/resources/stations/OS_PS-VOS	DE-SOOP-Polarstern	Germany (DE)		Hoppema van Heuven	soop	0	2	2020-05-27	
http://meta.icos-cp.eu/resources/stations/OS_PS-VOS	DE-SOOP-Polarstern	Germany (DE)		Hoppema van Heuven	soop	0	2	2020-05-27	
http://meta.icos-cp.eu/resources/stations/ES_GL-Dsk	Disko	Greenland (GL)	-53.51413 69.25349	Friborg	open shrublands	8	Associated	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_IE-Doa	Dooary	Ireland (IE)	-7.253945 52.94873	Tobin	deciduous broadleaf forests		2		
http://meta.icos-cp.eu/resources/stations/ES_BE-Dor	Dorinne	Belgium (BE)	4.968113 50.311874	Heinesch	grasslands	247	2	2022-11-23	
ARN	El Arenosillo	Spain (ES)	-6.734 37.104	Adame-Carnero	tall tower		2		
http://meta.icos-cp.eu/resources/stations/OS_687B	ES-SOOP-CanOA	Spain (ES)		González-Dávila	soop		1		
ES-SOOP-ESTOC	ESTOC	Spain (ES)	-15.5 29.166667	Delory	soop		1		
http://meta.icos-cp.eu/resources/stations/ES_FR-EM2	Estrees-Mons A28	France (FR)	3.02065 49.87211	Leonard Leonard	croplands	85	Associated	2018-11-30	
http://meta.icos-cp.eu/resources/stations/ES_DE-Fen	Fendt	Germany (DE)	11.06056 47.83292	Schmid	grassland	595	1		
FI-TVA	FI-FOS-Tvärminne	Finland (FI)	23.249 59.8418	Mammarella	fos		2		
FKL	Finokalia	Greece (GR)	25.6696 35.3376	Kanakidou  Mihalopoulos	mountain		2		
FI-SER	FI-SOOP-Silja Serenade	Finland (FI)		Honkanen Laakso	soop		2		
http://meta.icos-cp.eu/resources/stations/ES_FR-Fon	Fontainebleau-Barbeau	France (FR)	2.780096 48.476357	Berveiller	deciduous broadleaf forests	103	1	2019-11-21	
http://meta.icos-cp.eu/resources/stations/ES_FR-FBn	Font-Blanche	France (FR)	5.67865 43.24079	SIMIONI	evergreen needleleaf forests	436	2	2022-11-23	
http://meta.icos-cp.eu/resources/stations/OS_VOS%20France-Brazil	FR-SOOP-France-Brazil	France (FR)		Lefèvre	soop		1	2018-05-31	
http://meta.icos-cp.eu/resources/stations/AS_GAT	Gartow	Germany (DE)	11.4429 53.0657	Kneuer Lindauer Müller-Williams	tall tower	70	1	2017-11-17	
http://meta.icos-cp.eu/resources/stations/ES_DE-Geb	Gebesee	Germany (DE)	10.91463 51.09973	Brümmer	croplands	161.5	1	2020-11-17	
http://meta.icos-cp.eu/resources/stations/ES_DK-Gds	Gludsted Plantage	Denmark (DK)	9.3341 56.0737	Friborg	evergreen needleleaf forests	86	Associated	2021-05-25	
http://meta.icos-cp.eu/resources/stations/ES_DE-Gwg	Graswang	Germany (DE)	11.03261 47.57083	Schmid	grassland	864	Associated		
http://meta.icos-cp.eu/resources/stations/ES_FR-Gri	Grignon	France (FR)	1.95191 48.84422	Buysse	croplands	125	2	2021-11-17	
